MOF,MOFid,CO2_capacity_001,CO2_capacity_005,CO2_capacity_01,CO2_capacity_05,CO2_capacity_25,node,linkers
hMOF-1003232,CCCOC1=[C]C(=C(C(=C1OCCC)C(=O)[O-])[O])OC[CH2].[O-][C]=O.CCCOc1cc(cc(c1c1ccc(c(c1)OCCC)C(=O)[O-])O[CH2])c1c([O])cc(cc1OCCC)C(=O)[O-].[O-]C(=O)c1ccc(cc1OCCC)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.sql.cat0,1.57211,3.18523,3.81843,4.94265,6.00238,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCCOC1=[C]C(=C(C(=C1OCCC)C(=O)[O-])[O])OC[CH2]', '[O-][C]=O', 'CCCOc1cc(cc(c1c1ccc(c(c1)OCCC)C(=O)[O-])O[CH2])c1c([O])cc(cc1OCCC)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1OCCC)C(=O)[O-]']"
hMOF-1003191,CCCOc1c(ccc(c1[O])C(=O)[O-])C(=O)[O-].[CH2]CC.CCCOc1cc(cc(c1C(=O)[O-])OC[CH2])C(=O)[O-].[CH2]COc1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(c(c1)[O])C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.835498,2.36381,3.25616,4.50315,5.35449,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCCOc1c(ccc(c1[O])C(=O)[O-])C(=O)[O-]', '[CH2]CC', 'CCCOc1cc(cc(c1C(=O)[O-])OC[CH2])C(=O)[O-]', '[CH2]COc1cc(ccc1C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)[O])C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']"
hMOF-1004156,CC1=[C]c2c(C=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[O-]C(=O)C1=C(C)C(=C(C(=[C]1)C)C(=O)[O-])C.[O-]C(=O)c1cc(C)c(c(c1)C)C(=O)[O-].[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1C)C)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.464159,2.20136,3.18277,4.96057,5.9813,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CC1=[C]c2c(C=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1', '[O-]C(=O)C1=C(C)C(=C(C(=[C]1)C)C(=O)[O-])C', '[O-]C(=O)c1cc(C)c(c(c1)C)C(=O)[O-]', '[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1C)C)C(=O)[O-]']"
hMOF-1004155,Cc1cc(C)c2c(c1)c(C(=O)[O-])c1=CC=[C][C]=c1c2C(=O)[O-].[O-]C(=O)C1=[C]C(=C(C(=C1)C)C(=O)[O-])C.[O-]C(=O)c1cc(C)c(c(c1C)C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1C)C)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.608095,2.15817,3.14698,4.69706,5.79173,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['Cc1cc(C)c2c(c1)c(C(=O)[O-])c1=CC=[C][C]=c1c2C(=O)[O-]', '[O-]C(=O)C1=[C]C(=C(C(=C1)C)C(=O)[O-])C', '[O-]C(=O)c1cc(C)c(c(c1C)C)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1C)C)C(=O)[O-]']"
hMOF-1004028,CCCOc1cc(C(=O)[O-])c(c(c1C(=O)[O-])OCCC)[O].[CH2][CH2].CCCOc1ccc2c(c1)c(C(=O)[O-])c(cc2C(=O)[O-])O[CH2].[CH2]COc1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.bct,1.20705,2.83215,3.09206,4.13208,4.76142,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCCOc1cc(C(=O)[O-])c(c(c1C(=O)[O-])OCCC)[O]', '[CH2][CH2]', 'CCCOc1ccc2c(c1)c(C(=O)[O-])c(cc2C(=O)[O-])O[CH2]', '[CH2]COc1cc(ccc1C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']"
hMOF-1003175,CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-].CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC.CCc1cc(cc(c1C(=O)[O-])CC)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.719011,2.18727,3.08308,4.54226,5.17268,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-]', 'CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC', 'CCc1cc(cc(c1C(=O)[O-])CC)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']"
hMOF-1004406,[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)[C]=CC1=[C][C]([C]([C]C1)C)[C]=CC(=[CH])C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.778831,2.14795,2.8821,3.63948,4.32955,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)[C]=CC1=[C][C]([C]([C]C1)C)[C]=CC(=[CH])C(=O)[O-]']"
hMOF-1004405,CC1=CC(=C[C]=C1C1=[C][C]=C(C(=[C]1)C)C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.560958,1.93546,2.83351,4.63062,5.33068,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CC1=CC(=C[C]=C1C1=[C][C]=C(C(=[C]1)C)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']"
hMOF-1003333,CCc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-].CCc1cc(ccc1CC)C(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.757253,2.1644,2.80253,4.09923,4.92356,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-]', 'CCc1cc(ccc1CC)C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']"
hMOF-1004404,[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C1=[C][C]=C([C]=C1C)C1=[C]C=C(C(=C1C)C)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0,0.502539,1.78832,2.80083,4.48262,5.25747,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C1=[C][C]=C([C]=C1C)C1=[C]C=C(C(=C1C)C)C(=O)[O-]']"
